시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목
시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목
서울,중구,사망[명],1,1,0,1,1,2,3,0,0,-,0,0,-,3,0,0,0,1,1,0,0,0,-,0,0,-,0,1,0,0,0,1,0,2,1,-,0,1,-,2,0,0,0,0,0,0,0,0,-,1,0,-,0,1,0,0,1,0,0,0,0,-,0,0,-,2,1,0,0,0,0,0,0,0,-,0,0,-
서울,중구,부상[명],124,60,23,25,72,629,437,92,9,-,5,30,-,111,44,12,24,108,845,255,177,6,-,3,30,-,97,28,7,17,102,591,195,173,5,-,7,26,-,61,18,14,16,74,554,176,218,5,-,2,18,-,66,19,8,24,115,499,170,279,3,-,2,27,-,75,23,7,14,111,492,202,236,4,-,4,26,-
서울,양천구,사고[건],139,26,19,12,170,301,284,430,4,-,2,41,-,131,15,16,23,188,454,210,433,5,-,2,29,-,102,16,7,14,142,295,177,555,4,-,-,32,-,93,19,8,31,133,449,188,355,2,-,3,24,-,75,13,7,14,151,324,149,404,7,-,2,19,-,92,30,12,28,122,361,178,362,5,1,1,29,-
서울,양천구,사망[명],3,1,0,0,1,1,0,3,0,-,1,1,-,3,2,0,0,2,1,2,0,1,-,0,0,-,3,0,0,1,0,0,0,2,1,-,-,0,-,4,0,0,0,3,2,1,3,0,-,0,1,-,3,1,0,0,3,0,0,1,0,-,0,0,-,0,0,0,0,1,1,0,2,0,0,0,1,-
서울,양천구,부상[명],144,27,19,15,178,448,470,590,5,-,1,42,-,137,13,20,24,190,658,401,603,4,-,3,32,-,105,18,7,15,145,428,295,780,3,-,-,33,-,94,20,9,33,133,649,283,442,3,-,3,23,-,75,12,8,14,153,470,230,539,7,-,2,19,-,94,30,12,28,129,507,290,498,6,1,1,28,-
서울,중랑구,사고[건],179,35,33,22,163,467,250,358,11,-,9,38,-,209,35,32,28,166,510,213,365,19,-,8,35,-,117,19,29,13,180,451,163,418,17,-,11,29,-,124,25,15,26,142,458,171,371,4,-,8,29,-,117,18,27,25,166,494,190,322,7,2,5,28,-,95,28,19,28,162,434,176,277,13,-,2,34,-
서울,중랑구,사망[명],3,3,0,1,1,2,0,0,0,-,0,0,-,6,1,0,0,0,3,0,1,1,-,0,0,-,2,0,0,0,2,0,0,0,0,-,0,0,-,3,1,0,0,2,0,0,0,1,-,0,0,-,4,0,0,0,2,1,1,1,0,1,0,0,-,2,0,0,0,0,3,1,1,0,-,0,0,-
서울,중랑구,부상[명],193,35,33,21,170,690,434,495,11,-,9,44,-,216,36,33,28,173,742,354,472,20,-,9,39,-,124,20,31,13,183,685,265,560,23,-,13,35,-,132,24,16,28,149,697,266,469,5,-,9,31,-,118,19,27,25,173,746,315,423,8,1,5,30,-,109,29,20,31,170,606,310,376,16,-,2,35,-
서울,노원구,사고[건],174,54,18,28,109,576,304,258,13,-,2,33,-,180,59,18,32,126,666,275,313,9,-,4,21,-,122,47,8,29,80,614,241,287,11,1,4,18,-,127,35,9,23,86,617,221,240,17,-,2,36,-,114,35,9,28,124,494,228,308,13,-,2,29,-,100,34,14,38,83,501,218,346,8,-,2,22,-
서울,노원구,사망[명],5,2,0,1,1,3,0,0,2,-,0,0,-,3,1,0,0,2,0,2,0,0,-,0,0,-,2,1,0,0,0,2,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,5,-,0,1,-,1,1,0,0,0,1,0,1,2,-,0,0,-,4,1,0,0,0,1,1,1,1,-,0,0,-
서울,노원구,부상[명],179,56,19,32,116,814,587,370,14,-,2,38,-,196,62,19,34,126,939,458,426,16,-,4,22,-,124,47,9,35,83,910,385,381,19,1,4,18,-,139,40,9,23,87,905,384,299,15,-,2,37,-,122,35,10,28,129,730,403,403,16,-,5,32,-,100,34,15,41,88,704,398,450,11,-,2,26,-
서울,광진구,사고[건],97,24,44,18,83,415,226,169,10,-,3,19,-,74,22,18,11,135,417,159,106,7,-,8,16,-,53,20,6,14,97,334,144,171,9,-,3,18,-,37,20,20,17,113,373,136,184,3,-,2,17,-,46,9,7,11,94,249,120,159,2,-,-,11,-,23,13,7,22,121,204,86,227,2,-,1,11,-
