"자치구별(1)","자치구별(2)",항목,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","자치구별(2)",항목,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명
"합계","금천구",사망자 (명),6,5,-,1,-,-,-,9,6,1,2,-,-,-,6,6,-,-,-,-,-,16,16,-,-,-,-,-,9,6,2,1,-,-,-,7,6,-,-,-,-,1
"합계","금천구",부상자 (명),1326,1110,47,123,-,9,37,1353,1223,60,68,-,1,1,1084,936,65,77,-,-,6,1167,1009,46,101,-,10,1,1152,1048,41,51,-,5,7,1232,1110,28,81,-,-,13
"합계","영등포구",발생건수 (건),2493,2272,66,142,-,7,6,2439,2240,54,133,-,9,3,2208,1984,55,162,-,3,4,2178,1939,40,103,1,2,93,1998,1812,24,95,2,5,60,1900,1686,41,129,-,6,38
"합계","영등포구",사망자 (명),22,21,-,1,-,-,-,11,8,-,3,-,-,-,7,5,-,2,-,-,-,15,14,1,-,-,-,-,20,17,1,2,-,-,-,7,6,-,-,-,-,1
"합계","영등포구",부상자 (명),3532,3217,95,203,-,10,7,3451,3174,68,195,-,11,3,3102,2784,65,243,-,3,7,2967,2657,49,132,1,2,126,2707,2467,26,131,3,6,74,2619,2314,65,184,-,9,47
"합계","동작구",발생건수 (건),1412,1251,43,105,-,11,2,1406,1282,35,85,-,3,1,1307,1152,36,112,-,3,4,1148,988,54,80,-,10,16,1217,1053,41,71,2,5,45,1242,998,118,83,-,3,40
"합계","동작구",사망자 (명),9,8,-,1,-,-,-,5,5,-,-,-,-,-,10,10,-,-,-,-,-,11,8,2,-,-,-,1,7,6,-,1,-,-,-,6,5,1,-,-,-,-
"합계","동작구",부상자 (명),1892,1687,52,136,-,13,4,2021,1827,59,130,-,3,2,1819,1608,50,153,-,4,4,1520,1315,75,100,-,12,18,1651,1427,51,105,2,5,61,1668,1326,162,121,-,9,50
"합계","관악구",발생건수 (건),1300,1091,37,91,-,5,76,1363,1175,34,96,-,4,54,1444,1128,89,99,-,5,123,1419,1175,92,94,-,16,42,1172,1017,66,73,-,4,12,980,806,88,61,-,3,22
"합계","관악구",사망자 (명),8,7,-,1,-,-,-,10,5,3,2,-,-,-,13,6,1,2,-,-,4,8,5,1,2,-,-,-,9,7,-,2,-,-,-,10,9,1,-,-,-,-
"합계","관악구",부상자 (명),1717,1429,63,123,-,5,97,1755,1509,38,125,-,4,79,1819,1430,110,121,-,5,153,1829,1503,121,125,-,19,61,1535,1349,81,83,-,6,16,1252,1035,112,77,-,3,25
"합계","서초구",발생건수 (건),2478,2226,70,148,1,17,16,2418,2211,56,117,-,3,31,2250,2020,61,136,-,5,28,2118,1858,83,148,-,12,17,2264,2040,69,122,-,7,26,2168,1908,92,147,-,8,13
