시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명
시도,시군구,사고년도,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명
서울,중랑구,사고[건],6,8,2,4,637,422,65,311,0,110,10,8,2,46,703,419,75,286,0,71,4,7,1,54,637,390,60,198,0,96,5,6,0,43,552,353,73,200,0,141,3,8,2,30,594,382,81,220,0,81,3,15,1,33,534,347,62,199,0,74
서울,중랑구,사망[명],0,0,0,0,5,2,1,1,0,1,0,0,0,0,8,1,2,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,0,0,0,2,3,0,1,0,0
서울,중랑구,부상[명],17,17,2,5,837,596,72,450,0,139,14,9,4,63,926,588,74,363,0,81,11,13,2,77,815,560,62,297,0,115,11,10,0,61,730,484,87,265,0,178,3,14,2,44,828,526,87,291,0,95,3,24,1,59,700,472,66,277,0,102
서울,노원구,사고[건],11,14,5,76,571,391,83,284,0,134,9,20,46,16,607,509,92,289,0,115,6,17,9,7,569,436,63,306,0,49,11,23,7,5,538,381,63,265,0,120,10,5,7,7,553,345,70,254,0,133,14,13,8,8,561,352,65,244,0,101
서울,노원구,사망[명],0,0,0,2,7,3,0,0,0,2,1,0,0,0,4,1,0,2,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,6,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,2,3,2,1,0,1
서울,노원구,부상[명],20,17,6,106,803,588,86,440,0,161,9,33,51,25,840,713,101,394,0,136,13,22,12,14,809,611,69,411,0,55,17,35,19,5,727,545,66,373,0,153,17,7,12,11,764,496,78,360,0,168,24,16,10,17,761,495,70,334,0,142
서울,광진구,사고[건],2,22,9,1,649,232,30,139,0,24,1,13,5,0,543,246,32,84,0,49,0,24,6,0,473,188,32,88,0,58,1,14,3,1,449,186,16,109,0,143,1,23,5,2,281,137,20,111,0,128,1,8,17,3,380,100,19,117,0,72
서울,광진구,사망[명],0,3,0,0,5,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,5,1,1,1,0,0,0,0,0,0,2,1,0,0,0,1
서울,광진구,부상[명],7,29,16,1,860,314,32,182,0,33,4,25,9,0,703,359,33,118,0,65,0,43,8,0,634,244,31,121,0,64,1,31,5,1,591,241,16,152,0,178,1,34,7,2,373,187,22,166,0,174,1,12,28,3,475,121,20,153,0,86
서울,강북구,사고[건],1,0,0,0,582,390,46,162,0,35,1,0,0,0,639,397,44,166,0,30,0,0,0,0,533,328,25,161,0,40,1,0,0,0,486,323,28,149,0,30,2,0,0,0,481,318,38,170,0,35,1,1,0,0,462,296,20,172,0,20
